#Sample description: 
#Sample:   c= 0 mg/ml  Code: 
 8.000000e-003  2.449459e+002  5.078420e+000
 9.000000e-003  2.447096e+002  3.683960e+000
 1.000000e-002  2.439522e+002  3.277350e+000
 1.100000e-002  2.437663e+002  2.476400e+000
 1.200000e-002  2.418976e+002  2.284350e+000
 1.300000e-002  2.423580e+002  1.949490e+000
 1.400000e-002  2.411655e+002  1.820210e+000
 1.500000e-002  2.410413e+002  1.706710e+000
 1.600000e-002  2.408645e+002  1.577210e+000
 1.700000e-002  2.407143e+002  1.528260e+000
 1.800000e-002  2.394664e+002  1.488630e+000
 1.900000e-002  2.402663e+002  1.410200e+000
 2.000000e-002  2.397638e+002  1.381460e+000
 2.100000e-002  2.386148e+002  1.341280e+000
 2.200000e-002  2.367713e+002  1.314870e+000
 2.300000e-002  2.370013e+002  1.273570e+000
 2.400000e-002  2.362048e+002  1.247560e+000
 2.500000e-002  2.361073e+002  1.234260e+000
 2.600000e-002  2.347375e+002  1.190210e+000
 2.700000e-002  2.339451e+002  1.176500e+000
 2.800000e-002  2.313459e+002  1.271460e+000
 2.900000e-002  2.290893e+002  1.411470e+000
 3.000000e-002  2.301561e+002  1.357650e+000
 3.100000e-002  2.298118e+002  1.234780e+000
 3.200000e-002  2.294546e+002  1.243550e+000
 3.300000e-002  2.287875e+002  1.275700e+000
 3.400000e-002  2.287704e+002  1.283010e+000
 3.500000e-002  2.272852e+002  1.304610e+000
 3.600000e-002  2.263595e+002  1.298940e+000
 3.700000e-002  2.251813e+002  1.343050e+000
 3.800000e-002  2.243781e+002  1.448640e+000
 3.900000e-002  2.228711e+002  1.607250e+000
 4.000000e-002  2.221892e+002  1.572970e+000
 4.100000e-002  2.210981e+002  1.548310e+000
 4.200000e-002  2.201888e+002  1.520750e+000
 4.300000e-002  2.190286e+002  1.453950e+000
 4.400000e-002  2.181025e+002  1.459140e+000
 4.500000e-002  2.172928e+002  1.319800e+000
 4.600000e-002  2.162759e+002  1.262700e+000
 4.700000e-002  2.158370e+002  1.163640e+000
 4.800000e-002  2.151031e+002  1.332060e+000
 4.900000e-002  2.139460e+002  1.088880e+000
 5.025000e-002  2.115736e+002  8.135100e-001
 5.200000e-002  2.095862e+002  7.201700e-001
 5.400000e-002  2.066972e+002  7.117100e-001
 5.600000e-002  2.041146e+002  7.031300e-001
 5.800000e-002  2.012961e+002  6.788700e-001
 6.000000e-002  1.979616e+002  6.771200e-001
 6.200000e-002  1.953806e+002  6.541500e-001
 6.400000e-002  1.925918e+002  6.479000e-001
 6.600000e-002  1.891811e+002  6.339900e-001
 6.800000e-002  1.859452e+002  6.250600e-001
 7.000000e-002  1.826955e+002  6.178500e-001
 7.200000e-002  1.793628e+002  5.989300e-001
 7.400000e-002  1.763721e+002  5.823000e-001
 7.600000e-002  1.727774e+002  5.771800e-001
 7.800000e-002  1.695796e+002  5.600400e-001
 8.000000e-002  1.658864e+002  5.501100e-001
 8.200000e-002  1.622603e+002  5.373800e-001
 8.400000e-002  1.586732e+002  5.372300e-001
 8.600000e-002  1.547878e+002  5.119200e-001
 8.800000e-002  1.511863e+002  5.168300e-001
 9.000000e-002  1.476102e+002  5.031200e-001
 9.200000e-002  1.443737e+002  4.948400e-001
 9.400000e-002  1.407051e+002  4.838500e-001
 9.600000e-002  1.375069e+002  5.982000e-001
 9.800000e-002  1.346451e+002  4.736500e-001
 1.007500e-001  1.286880e+002  3.160800e-001
 1.050000e-001  1.202898e+002  2.788900e-001
 1.100000e-001  1.114473e+002  2.740700e-001
 1.150000e-001  1.059920e+002  5.346900e-001
 1.200000e-001  9.722693e+001  7.843300e-001
 1.250000e-001  8.889758e+001  4.781400e-001
 1.300000e-001  8.087880e+001  4.582000e-001
 1.350000e-001  7.337043e+001  4.070100e-001
 1.400000e-001  6.614925e+001  3.563100e-001
 1.450000e-001  5.971416e+001  2.722800e-001
 1.500000e-001  5.339341e+001  2.986300e-001
 1.550000e-001  4.780809e+001  3.082900e-001
 1.600000e-001  4.241619e+001  2.558000e-001
 1.650000e-001  3.760587e+001  2.398600e-001
 1.700000e-001  3.320574e+001  2.238600e-001
 1.750000e-001  2.915502e+001  2.031300e-001
 1.800000e-001  2.543034e+001  2.278200e-001
 1.850000e-001  2.225703e+001  1.797700e-001
 1.900000e-001  1.923354e+001  1.692900e-001
 1.950000e-001  1.675744e+001  1.780500e-001
 2.000000e-001  1.450026e+001  1.564200e-001
